********************** Times ***********************
Alg # | Trial   1        2       3       4
1               0.00     0.00    0.12    12.55
2               0.00     0.00    0.00    0.04
3               0.00     0.00    0.07    7.74
4               0.00     0.00    0.05    5.64
5               0.00     0.00    0.26    27.95
6               0.00     0.00    0.00    0.00
7               0.00     0.00    0.01    0.25
8               0.00     0.00    0.01    0.07
********************** Swaps ***********************
Alg # | Trial   1       2        3                4
1               13       2692    243820          24868595
2               68       657     12314           146812
3               28       2499    258370          24939914
4               5        91      993             9995
5               93       10298   1005381         100136846
6               None     None    None            None
7               12       255     4309            58315
8               14       273     4405            61216

